First Name,Last Name,Action,Flight ID,Origin Airport,Destination Airport,Ticket Type,Ticket Quantity
Patrick,Bennett,Buy,3485,DFW,ELP,Main Cabin,1
Penny,Mcdaniel,Buy,1324,ELP,DFW,First Class,3
Miranda,Walker,Buy,619,ELP,ORD,Main Cabin,1
Christopher,Coleman,Buy,3408,BOS,ELP,Business Class,6
Samantha,Thomas,Buy,1482,ELP,BOS,First Class,8
Lauren,Coleman,Buy,3530,ELP,LAS,First Class,7
Sherry,Mora,Buy,806,LAX,BOS,First Class,1
Brandon,Flores,Buy,81,BOS,LAX,Business Class,3
Hector,Whitney,Buy,567,LAX,BOS,Main Cabin,6
Richard,Edwards,Buy,1047,LAX,BOS,First Class,5
Susan,Alvarez,Buy,2989,CDG,ELP,Main Cabin,3
Anthony,Hunter,Buy,3446,LAX,BOS,Business Class,4
Nicole,Lloyd,Buy,632,ATL,ELP,Main Cabin,2
Lisa,Gaines,Buy,392,ATL,ELP,First Class,3
Teresa,Stewart,Buy,3262,ORD,ELP,Main Cabin,8
Joshua,Meadows,Buy,1946,ELP,ATL,Business Class,4
Linda,Robles,Buy,1776,CUN,ELP,Business Class,6
Kimberly,Roberts,Buy,2870,CDG,ELP,Main Cabin,3
Jennifer,Preston,Buy,658,ELP,LHR,First Class,3
Chelsea,Porter,Buy,415,LAS,ELP,First Class,5
David,Hayes,Buy,3032,ATL,ELP,First Class,8
Michael,Nunez,Buy,656,LAS,ELP,Main Cabin,6
Christopher,Coleman,Buy,2417,ELP,ORD,Business Class,3
Michael,Johnson,Buy,3128,DFW,ELP,Business Class,6
Kimberly,Johnson,Buy,216,CUN,ELP,Business Class,5
Patrick,Larsen,Buy,1252,ELP,LAS,Main Cabin,6
Jennifer,Guzman,Buy,465,ELP,CDG,Business Class,6
Kathleen,Small,Buy,915,ORL,LAX,Main Cabin,4
Robert,Flores,Buy,2678,JFK,ELP,Business Class,8
Krista,Lambert,Buy,2902,ORD,ELP,Business Class,7
Haley,Moss,Buy,97,ELP,YYZ,First Class,7
Samantha,Thomas,Buy,131,ELP,LAX,Main Cabin,4
Jorge,RodriguezOrtega,Buy,2383,YYZ,ELP,Business Class,6
Eric,Ramos,Buy,1981,LHR,ELP,Business Class,5
Susan,Humphrey,Buy,1885,LAX,BOS,Main Cabin,8
Heidi,Barker,Buy,1697,ELP,ORD,First Class,4
Jeffrey,Walls,Buy,1490,ELP,LAS,Business Class,4
Diana,Valles,Buy,1731,ELP,LAS,First Class,5
Kendra,Sawyer,Buy,3400,JFK,ELP,First Class,2
Gregory,Maxwell,Buy,407,BOS,ELP,Business Class,6
Ronald,Martinez,Buy,3057,ELP,LHR,Main Cabin,2
Brian,Castillo,Buy,2580,ELP,LHR,Main Cabin,1
Samantha,May,Buy,939,ELP,YYZ,Main Cabin,5
Jeremiah,Williamson,Buy,2685,BOS,ELP,Business Class,6
Jorge,Haley,Buy,2654,LAX,ELP,Business Class,1
Benjamin,Ramirez,Buy,1012,ELP,LAS,Business Class,2
Paul,Herman,Buy,272,ATL,ELP,First Class,1
James,King,Buy,3429,MEX,CJS,Main Cabin,5
Stacey,Paul,Buy,691,ELP,CUN,First Class,1
Simba,Disney,Buy,2404,ELP,DFW,Main Cabin,2
Amanda,Baker,Buy,2204,ELP,BOS,Main Cabin,2
Jeremy,Rocha,Buy,2899,ELP,ORD,First Class,6
Erika,Lopez,Buy,1259,ELP,LHR,First Class,8
Michael,Mccormick,Buy,2834,ORL,LAX,Main Cabin,3
Ashley,Evans,Buy,754,ELP,JFK,First Class,8
Shirley,Foster,Buy,676,ORL,LAX,First Class,8
Lisa,Miller,Buy,2892,ELP,LAX,Main Cabin,5
Aurora,Disney,Buy,2841,BOS,LAX,Main Cabin,5
Jennifer,Jones,Buy,2932,ELP,LAS,Business Class,6
Melanie,Kirk,Buy,886,BOS,ELP,First Class,2
Mary,Grant,Buy,1034,ORL,LAX,First Class,7
Cody,Scott,Buy,959,HND,ELP,Main Cabin,3
Destiny,Ferguson,Buy,3555,ORL,LAX,Main Cabin,7
Joshua,Hickman,Buy,1692,ELP,LAX,Main Cabin,4
Ariana,Lara,Buy,420,ELP,LHR,First Class,7
Jesse,Montgomery,Buy,1211,ELP,LAX,Main Cabin,5
Ashley,Gilmore,Buy,3257,ELP,ORD,First Class,2
Crystal,Hayes,Buy,3239,HND,ELP,Main Cabin,3
Sonia,Durham,Buy,3183,LHR,ELP,Main Cabin,8
Melissa,Johnson,Buy,369,ELP,LAX,First Class,1
Trevor,Young,Buy,3116,ELP,HND,Business Class,6
Penny,Mcdaniel,Buy,3476,ELP,HND,Main Cabin,6
David,Mills,Buy,3263,ORD,ELP,Main Cabin,3
Haley,Moss,Buy,3571,ELP,CUN,Business Class,2
Miguel,Lucero,Buy,2910,ATL,ELP,Main Cabin,8
Rachel,Hart,Buy,1630,MEX,CJS,Business Class,4
Gabriela,SigalaAcosta,Buy,3333,CUN,ELP,Main Cabin,2
Denise,Morales,Buy,1717,JFK,ELP,Business Class,5
Linda,Robles,Buy,1165,LAX,BOS,First Class,8
Scott,Bailey,Buy,352,CDG,ELP,Main Cabin,2
Joe,Cochran,Buy,2039,HND,ELP,Business Class,5
Christopher,Berry,Buy,2410,ELP,LAX,Business Class,5
Steven,Miller,Buy,2434,ELP,JFK,First Class,1
Natalie,Richardson,Buy,1126,BOS,ELP,Main Cabin,2
Stitch,Disney,Buy,159,JFK,ELP,First Class,1
Brittany,Weaver,Buy,1079,HND,ELP,Main Cabin,2
Beth,Moss,Buy,1184,YYZ,ELP,First Class,3
Leroy,Walters,Buy,1940,ELP,ORD,Business Class,3
Chase,Miller,Buy,2269,CDG,ELP,Business Class,1
Gina,Swanson,Buy,2052,ELP,LAX,First Class,7
Samantha,Thomas,Buy,1694,LAX,ELP,First Class,3
Mary,Gonzalez,Buy,2622,YYZ,ELP,First Class,4
Brittany,Richard,Buy,1329,ELP,LAX,First Class,1
Megan,Thompson,Buy,1404,BOS,LAX,First Class,6
Leonard,King,Buy,174,LAS,ELP,Main Cabin,5
Joseph,Macdonald,Buy,1641,BOS,LAX,Business Class,3
Anthony,Moore,Buy,1977,ELP,LHR,First Class,5
James,Simmons,Buy,1758,LAX,ORL,First Class,8
Ernest,Bentley,Buy,2889,ELP,LAX,Business Class,6
Beast,Disney,Buy,566,LAX,BOS,Main Cabin,3
Michelle,Jones,Buy,1543,YYZ,ELP,First Class,5
Amanda,Vang,Buy,3261,ORD,ELP,First Class,3
Jose,Espinoza Gonzalez,Buy,2913,ELP,JFK,Main Cabin,3
Jose Luis,Rojas,Buy,2,ELP,DFW,First Class,3
Gina,Swanson,Buy,2572,ELP,LAS,First Class,7
Dalton,Bryant,Buy,1321,ELP,DFW,Business Class,8
Minnie,Mouse,Buy,72,MEX,CJS,Main Cabin,3
Wendy,Phillips,Buy,3177,ELP,LHR,First Class,7
Lauren,Coleman,Buy,1067,ELP,CDG,First Class,1
Ray,Booth,Buy,98,ELP,YYZ,Main Cabin,1
Gary,Miller,Buy,1126,BOS,ELP,Main Cabin,7
Dylan,Lopez,Buy,200,LAX,ORL,First Class,4
Daniel,Hampton,Buy,2638,HND,ELP,First Class,6
Sean,Klein,Buy,373,LAX,ELP,Main Cabin,3
Michelle,Griffin,Buy,1952,ATL,ELP,First Class,3
Michelle,Maynard,Buy,3180,ELP,LHR,Main Cabin,3
Michael,Robinson,Buy,3572,ELP,CUN,Business Class,3
Lawrence,Price,Buy,3177,ELP,LHR,Business Class,8
Karen,Thomas,Buy,341,YYZ,ELP,First Class,4
Sherry,Mora,Buy,813,CUN,ELP,Main Cabin,7
Miranda,Mason,Buy,3418,ELP,LHR,Main Cabin,1
Paul,Salas,Buy,2180,ELP,ORD,Main Cabin,5
Nathan,Thompson,Buy,1615,LAS,ELP,Main Cabin,6
Edward,Johnson,Buy,3425,CJS,MEX,Business Class,5
Gregory,Short,Buy,476,ELP,HND,Business Class,5
Sarah,Taylor,Buy,2645,DFW,ELP,Main Cabin,4
Travis,Mcdonald,Buy,854,LAX,ELP,Main Cabin,3
Tyrone,Alvarado,Buy,294,LAS,ELP,First Class,2
Maria,Mitchell,Buy,809,ELP,CUN,Main Cabin,4
Elizabeth,Cordova,Buy,348,ELP,CDG,Main Cabin,6
Crystal,Young,Buy,1136,LAS,ELP,Business Class,4
Jason,Clark,Buy,216,CUN,ELP,Business Class,5
Dana,Jones,Buy,2972,ELP,CUN,First Class,3
Kara,Summers,Buy,1465,ELP,ATL,Business Class,1
Trevor,Young,Buy,1195,ELP,HND,First Class,4
April,Lopez,Buy,2352,MEX,CJS,Business Class,5
Samantha,Thomas,Buy,3442,BOS,LAX,Main Cabin,3
Jill,Solis,Buy,2416,LAX,ELP,First Class,6
Timothy,Romero,Buy,1088,DFW,ELP,First Class,8
Carmen,Petersen,Buy,3531,ELP,LAS,First Class,8
Brandon,Miller,Buy,2978,ELP,YYZ,First Class,5
Luis,Johnson,Buy,3478,HND,ELP,First Class,8
Nicholas,Anderson,Buy,2484,BOS,LAX,Main Cabin,6
Sean,Roberts,Buy,622,ORD,ELP,First Class,6
Anthony,Sims,Buy,1278,LAX,ORL,Business Class,5
Holly,Cruz,Buy,363,ELP,DFW,First Class,6
Ashley,Morales,Buy,1758,LAX,ORL,Main Cabin,7
Heidi,Page,Buy,557,LAX,ORL,Main Cabin,2
Kenneth,Smith,Buy,3366,DFW,ELP,Main Cabin,7
Donald,Ramirez,Buy,2351,MEX,CJS,First Class,3
Robin,Wilson,Buy,2903,ORD,ELP,Main Cabin,2
Jill,Solis,Buy,242,ELP,DFW,First Class,6
Sonia,Durham,Buy,3486,DFW,ELP,Business Class,2
Matthew,Porter,Buy,3204,BOS,LAX,First Class,7
Bella,Quintero,Buy,1660,ELP,YYZ,Main Cabin,2
Scott,Bailey,Buy,2904,ORD,ELP,Main Cabin,6
Alexis,Black,Buy,2305,ELP,ATL,Main Cabin,1
John,Hansen,Buy,226,ELP,CDG,Main Cabin,1
Theresa,Clark,Buy,253,LAX,ELP,First Class,5
Daniel,Foster,Buy,729,ELP,LAX,Main Cabin,1
